ID,Urne,QR-Code,Categorie,1 - Proteger les pietons et reduire les nuisances sonores,2 - Developper le commerce de proximite dans le quartier de l Europe,3 - Poursuivre le renouveau du parc Monceau,4 - Renover les grilles de l avenue Ruysdael et les allees du parc Monceau,5 - Restaurer la facade ouest de l eglise de la Madeleine et ses statues,6 - Restaurer le patrimoine de la place de la Concorde,7 - Restaurer les grilles emblematiques du parc Monceau - avenue Van Dyck,8 - Restaurer les grilles emblematiques du parc Monceau - avenue Velasquez,9 - Restaurer les grilles emblematiques du parc Monceau - Bd de Courcelles,"10 - Apaiser, vegetaliser des rues et places de l arrondissement",11 - Renover le marche aux fleurs de la Madeleine et le gymnase Condorcet,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
66848,U08-002,2022AR08B,Valide,1,2,1,4,3,3,3,3,3,2,1,11,3,2,5,1,0
66856,U08-002,2022AR08B,Valide,novote,1,novote,novote,2,novote,novote,novote,3,novote,1,4,2,1,1,0,7
66860,U08-003,2022AR08B,Valide,1,novote,1,1,novote,1,novote,1,1,1,1,8,8,0,0,0,3
66872,U08-002,2022AR08B,Valide,1,1,1,novote,novote,novote,novote,novote,novote,1,novote,4,4,0,0,0,7
66878,U08-004,2022AR08A,Valide,1,novote,1,novote,novote,novote,novote,novote,1,1,novote,4,4,0,0,0,7
66888,U08-003,2022AR08B,Valide,3,4,3,4,1,3,4,4,4,3,1,11,2,0,4,5,0
66890,U08-004,2022AR08A,Valide,novote,novote,1,1,novote,1,novote,novote,novote,1,novote,4,4,0,0,0,7
66897,U08-002,2022AR08B,Valide,1,3,1,novote,4,4,4,4,novote,2,1,9,3,1,1,4,2
66899,U08-001,2022AR08B,Valide,novote,novote,1,1,1,1,1,1,1,1,novote,8,8,0,0,0,3
66907,U08-002,2022AR08A,Valide,2,1,2,2,2,2,2,2,2,1,2,11,2,9,0,0,0
66908,U08-002,2022AR08B,Valide,4,1,1,1,1,1,1,1,1,1,4,11,9,0,0,2,0
66910,U08-004,2022AR08A,Valide,novote,2,2,novote,novote,novote,novote,novote,novote,1,1,4,2,2,0,0,7
66914,U08-001,2022AR08A,Valide,1,1,1,1,1,1,1,1,1,1,1,11,11,0,0,0,0
66919,U08-002,2022AR08B,Valide,1,1,1,novote,novote,1,1,novote,novote,1,novote,6,6,0,0,0,5
66921,U08-004,2022AR08A,Valide,2,2,2,3,2,2,3,3,3,1,3,11,1,5,5,0,0
66934,U08-002,2022AR08B,Valide,3,1,3,1,4,4,1,1,1,1,1,11,7,0,2,2,0
66936,U08-004,2022AR08A,Valide,1,1,2,2,2,2,2,2,2,1,2,11,3,8,0,0,0
66941,U08-003,2022AR08B,Valide,1,1,4,4,4,4,4,4,4,1,2,11,3,1,0,7,0
66944,U08-002,2022AR08B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
