ID,Urne,QR-Code,Categorie,1 - Renover le terrain du stade de la Muette,2 - Acquerir un kiosque mobile d informations sociales pour Auteuil-Sud,3 - Nettoyer le mur des rampes du Pont de Bir-Hakeim,4 - Nettoyer les murs exterieurs du cimetiere de Passy,5 - Apaiser la circulation automobile dans le 16e,6 - Installer des preaux dans deux ecoles du 16e,7 - Aider a la renovation du domaine de Bagatelle,8 - Restaurer le monument Claude Debussy,9 - Ameliorer le cadre de vie dans le Bois de Boulogne,10 - Restaurer la Fontaine Victor Hugo,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
12073,U16-004,2022AR16A,Valide,1,3,1,1,3,1,1,1,1,1,10,8,0,2,0,0
12078,U16-004,2022AR16A,Valide,2,1,2,novote,1,1,novote,novote,1,novote,6,4,2,0,0,4
12085,U16-004,2022AR16B,Valide,4,3,2,1,2,4,4,4,2,1,10,2,3,1,4,0
12090,U16-004,2022AR16A,Valide,1,novote,novote,1,novote,novote,1,novote,1,novote,4,4,0,0,0,6
12097,U16-004,2022AR16A,Valide,2,2,2,1,3,2,4,3,3,2,10,1,5,3,1,0
12098,U16-004,2022AR16B,Valide,1,novote,2,3,2,2,1,novote,2,4,8,2,4,1,1,2
12111,U16-004,2022AR16A,Valide,novote,novote,1,novote,1,novote,1,novote,1,novote,4,4,0,0,0,6
12115,U16-004,2022AR16A,Valide,3,2,2,2,4,2,novote,3,2,2,9,0,6,2,1,1
12124,U16-004,2022AR16A,Valide,1,novote,novote,novote,novote,1,1,novote,1,novote,4,4,0,0,0,6
12125,U16-004,2022AR16A,Valide,4,4,4,4,novote,1,novote,novote,novote,novote,5,1,0,0,4,5
12126,U16-004,2022AR16A,Valide,novote,novote,novote,novote,1,1,novote,novote,1,1,4,4,0,0,0,6
12131,U16-004,2022AR16A,Valide,2,novote,1,1,1,novote,1,novote,1,1,7,6,1,0,0,3
12132,U16-004,2022AR16A,Valide,1,2,3,3,3,2,2,3,1,4,10,2,3,4,1,0
12140,U16-004,2022AR16A,Valide,1,1,novote,novote,1,1,novote,novote,novote,novote,4,4,0,0,0,6
12142,U16-004,2022AR16A,Valide,novote,4,1,1,1,novote,novote,novote,novote,novote,4,3,0,0,1,6
12146,U16-004,2022AR16A,Valide,novote,2,2,novote,novote,2,novote,2,1,novote,5,1,4,0,0,5
12148,U16-004,2022AR16A,Valide,2,3,2,3,4,1,4,4,3,4,10,1,2,3,4,0
12155,U16-004,2022AR16B,Valide,novote,novote,novote,novote,novote,1,1,1,1,1,5,5,0,0,0,5
12157,U16-004,2022AR16B,Valide,2,1,2,novote,1,novote,novote,novote,1,2,6,3,3,0,0,4
12161,U16-004,2022AR16A,Valide,2,3,3,2,3,3,2,2,2,2,10,0,6,4,0,0
12165,U16-004,2022AR16B,Valide,2,3,2,2,3,1,2,3,3,3,10,1,4,5,0,0
12172,U16-004,2022AR16A,Valide,1,1,1,3,1,3,novote,3,4,4,9,4,0,3,2,1
12181,U16-004,2022AR16A,Valide,2,1,novote,novote,1,1,novote,novote,1,2,6,4,2,0,0,4
12187,U16-004,2022AR16B,Valide,2,1,1,1,2,3,2,3,3,3,10,3,3,4,0,0
12190,U16-004,2022AR16A,Valide,1,novote,1,novote,novote,1,novote,novote,1,novote,4,4,0,0,0,6
12197,U16-004,2022AR16B,Valide,1,2,3,3,1,1,3,2,1,1,10,5,2,3,0,0
12205,U16-004,2022AR16A,Valide,2,3,4,2,3,2,3,2,2,2,10,0,6,3,1,0
12211,U16-004,2022AR16B,Valide,1,1,novote,novote,novote,1,1,novote,1,1,6,6,0,0,0,4
12212,U16-004,2022AR16A,Valide,2,1,3,2,1,1,1,2,1,1,10,6,3,1,0,0
12213,U16-004,2022AR16A,Valide,novote,novote,1,1,1,novote,1,novote,1,novote,5,5,0,0,0,5
12215,U16-004,2022AR16B,Nul,1 2,2,3,2,2,2,2,novote,2,2,8,0,7,1,0,1
12217,U16-004,2022AR16A,Valide,1,1,1,4,1,1,1,2,3,1,10,7,1,1,1,0
12218,U16-004,2022AR16A,Valide,3,2,novote,novote,novote,1,novote,novote,2,novote,4,1,2,1,0,6
12219,U16-004,2022AR16A,Valide,1,1,2,1,1,1,1,1,1,2,10,8,2,0,0,0
12221,U16-004,2022AR16B,Valide,3,3,3,3,1,3,3,3,2,3,10,1,1,8,0,0
12222,U16-004,2022AR16A,Valide,1,4,1,4,4,4,2,4,1,1,10,4,1,0,5,0
12224,U16-004,2022AR16A,Valide,1,1,novote,novote,1,novote,novote,novote,1,novote,4,4,0,0,0,6
12237,U16-004,2022AR16A,Nul,3,2,4,2,1,1,4,4,1 2,1,9,3,2,1,3,0
12244,U16-004,2022AR16B,Valide,2,3,2,2,2,2,2,3,novote,2,9,0,7,2,0,1
12245,U16-004,2022AR16B,Valide,novote,1,novote,1,1,1,novote,novote,novote,novote,4,4,0,0,0,6
12251,U16-004,2022AR16A,Nul,novote,novote,novote,1,1,novote,novote,novote,1,novote,3,3,0,0,0,7
12274,U16-004,2022AR16A,Valide,novote,2,novote,novote,novote,1,2,novote,2,novote,4,1,3,0,0,6
12275,U16-004,2022AR16B,Valide,3,3,2,3,3,3,3,3,1,3,10,1,1,8,0,0
12287,U16-004,2022AR16B,Valide,1,novote,novote,novote,1,1,1,novote,novote,novote,4,4,0,0,0,6
12290,U16-004,2022AR16A,Valide,2,4,2,2,1,2,2,3,1,3,10,2,5,2,1,0
12293,U16-004,2022AR16A,Valide,3,1,2,1,2,1,3,2,1,2,10,4,4,2,0,0
