ID,Urne,QR-Code,Categorie,1 - ilot refuge pour pietons et velos pont Alexandre III,2 - Reamenager et equiper les espaces verts du 7e arrondissement,3 - Embellir les cours des ecoles du 7e arrondissement !,4  - Reamenagement des espaces dedies a la jeunesse,5 - Restauration des chapelles Sainte-Valere et Sainte-Clotilde,6 - Restauration du temple de Pentemont,7 - Restaurer la sacristie de l eglise Saint-Thomas d Aquin et son local,8 - Restaurer le Champ de Mars et son mobilier historique,9 - Sauvegarde des statues de l arrondissement,10 - Vegetalisation et equipement de la place Fontenoy,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
4752,U07-005,2022AR07B,Valide,novote,novote,novote,1,4,1,1,4,1,1,7,5,0,0,2,3
4757,U07-003,2022AR07A,Valide,2,2,novote,novote,1,1,2,1,2,1,8,4,4,0,0,2
4760,U07-005,2022AR07B,Valide,novote,1,novote,novote,1,novote,novote,1,1,1,5,5,0,0,0,5
4762,U07-005,2022AR07B,Valide,novote,1,novote,4,4,4,4,1,4,2,8,2,1,0,5,2
4766,U07-005,2022AR07A,Valide,3,1,1,2,3,3,3,2,2,1,10,3,3,4,0,0
4768,U07-005,2022AR07B,Valide,novote,2,2,1,novote,novote,novote,novote,novote,2,4,1,3,0,0,6
4777,U07-005,2022AR07B,Valide,novote,1,1,1,2,2,novote,1,novote,novote,6,4,2,0,0,4
4779,U07-005,2022AR07A,Valide,novote,1,novote,1,4,4,novote,novote,novote,novote,4,2,0,0,2,6
4781,U07-005,2022AR07B,Valide,2,2,novote,2,novote,novote,novote,novote,novote,2,4,0,4,0,0,6
4785,U07-005,2022AR07A,Valide,4,3,1,1,novote,novote,novote,4,4,4,7,2,0,1,4,3
4789,U07-005,2022AR07A,Valide,1,1,1,1,novote,1,1,1,1,1,9,9,0,0,0,1
4797,U07-005,2022AR07A,Valide,2,1,1,1,1,1,2,1,1,2,10,7,3,0,0,0
4799,U07-005,2022AR07B,Valide,novote,2,1,1,novote,novote,novote,novote,2,2,5,2,3,0,0,5
4801,U07-005,2022AR07A,Valide,4,1,1,1,2,2,1,1,2,1,10,6,3,0,1,0
4805,U07-005,2022AR07B,Valide,2,2,3,1,2,3,3,1,2,1,10,3,4,3,0,0
4806,U07-003,2022AR07A,Valide,4,novote,novote,novote,3,4,novote,1,novote,3,5,1,0,2,2,5
4808,U07-003,2022AR07B,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
4809,U07-005,2022AR07A,Valide,4,2,2,1,4,3,4,4,4,3,10,1,2,2,5,0
4814,U07-005,2022AR07B,Valide,2,2,2,2,2,3,3,2,2,1,10,1,7,2,0,0
4818,U07-005,2022AR07B,Valide,2,2,novote,novote,novote,novote,novote,2,novote,2,4,0,4,0,0,6
4838,U07-005,2022AR07A,Valide,4,2,3,2,1,3,2,2,1,2,10,2,5,2,1,0
4842,U07-005,2022AR07A,Valide,2,2,2,1,novote,novote,novote,4,novote,novote,5,1,3,0,1,5
4847,U07-005,2022AR07A,Valide,4,2,3,3,1,1,4,novote,novote,novote,7,2,1,2,2,3
4851,U07-005,2022AR07A,Valide,2,1,3,2,3,3,3,1,3,2,10,2,3,5,0,0
4852,U07-005,2022AR07B,Valide,2,1,3,1,3,3,3,1,1,2,10,4,2,4,0,0
4854,U07-005,2022AR07B,Valide,4,novote,novote,2,novote,novote,novote,1,2,novote,4,1,2,0,1,6
4856,U07-005,2022AR07B,Valide,4,2,4,1,3,3,4,1,2,3,10,2,2,3,3,0
4860,U07-005,2022AR07B,Valide,1,1,1,1,3,3,4,2,1,1,10,6,1,2,1,0
4866,U07-005,2022AR07B,Valide,1,1,3,2,3,2,2,2,3,3,10,2,4,4,0,0
4873,U07-005,2022AR07B,Valide,novote,2,2,1,novote,novote,novote,novote,novote,2,4,1,3,0,0,6
4875,U07-005,2022AR07B,Valide,2,2,novote,2,novote,novote,novote,1,novote,novote,4,1,3,0,0,6
4877,U07-005,2022AR07B,Valide,novote,novote,novote,novote,1,1,1,4,novote,novote,4,3,0,0,1,6
4878,U07-003,2022AR07A,Valide,novote,2,novote,novote,3,novote,novote,1,novote,4,4,1,1,1,1,6
4880,U07-005,2022AR07A,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
4890,U07-005,2022AR07B,Valide,novote,1,novote,novote,1,novote,1,1,novote,novote,4,4,0,0,0,6
4893,U07-005,2022AR07B,Valide,novote,novote,1,1,novote,novote,novote,1,2,novote,4,3,1,0,0,6
4896,U07-005,2022AR07B,Valide,novote,novote,novote,novote,1,1,1,1,1,novote,5,5,0,0,0,5
4901,U07-005,2022AR07B,Valide,novote,novote,novote,novote,novote,novote,1,1,1,4,4,3,0,0,1,6
4903,U07-005,2022AR07B,Valide,novote,novote,novote,1,4,3,4,4,1,novote,6,2,0,1,3,4
4907,U07-005,2022AR07B,Valide,4,novote,1,1,4,novote,novote,novote,novote,novote,4,2,0,0,2,6
4909,U07-005,2022AR07B,Valide,3,2,1,1,1,2,1,2,2,1,10,5,4,1,0,0
4911,U07-005,2022AR07B,Valide,2,novote,novote,novote,2,2,2,1,2,2,7,1,6,0,0,3
4913,U07-005,2022AR07A,Valide,1,1,1,1,1,1,1,1,2,1,10,9,1,0,0,0
4919,U07-005,2022AR07B,Valide,1,2,1,2,1,3,1,1,2,1,10,6,3,1,0,0
4929,U07-005,2022AR07A,Valide,1,2,2,2,3,3,3,1,3,3,10,2,3,5,0,0
4931,U07-005,2022AR07B,Valide,1,novote,novote,novote,1,2,1,1,1,1,7,6,1,0,0,3
4933,U07-005,2022AR07A,Valide,3,2,1,2,3,3,3,2,2,3,10,1,4,5,0,0
4938,U07-003,2022AR07A,Valide,4,1,2,2,novote,novote,novote,2,2,novote,6,1,4,0,1,4
