ID,Urne,QR-Code,Categorie,1 - Ameliorer l accueil des sportifs dans le 12e arrondissement,2 - Renover nos Terrains d’Education Physique (TEP),3 - Faire du 12e un arrondissement plus solidaire,4 - Realiser deux amenagements ponctuels et mesurer la pollution sonore,"5 - Sublimer nos squares, parcs et jardins",6 - Ameliorer le quotidien des eleves du 12e,7 - Faisons du 12e un arrondissement toujours plus culturel !,8 - Renovons notre Patrimoine,9 - Restaurer la facade de l eglise du Rendez vous,10 - Ameliorer le quotidien des habitant·e·s du quartier Bel-Air Nord,11 - Renforcer l accessibilite et l inclusivite dans le 12e arrondissement,12 - Valoriser les squares du quartier Erard-Rozanoff,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
204778,U12-008,2022AR12B,Valide,1,novote,1,novote,1,1,novote,novote,novote,novote,novote,novote,4,4,0,0,0,8
204790,U12-008,2022AR12B,Valide,novote,1,novote,novote,novote,1,novote,novote,4,novote,2,novote,4,2,1,0,1,8
204794,U12-003,2022AR12A,Valide,3,novote,2,2,novote,novote,2,novote,novote,novote,1,2,6,1,4,1,0,6
204806,U12-008,2022AR12B,Valide,3,2,2,3,1,1,2,2,2,2,1,2,12,3,7,2,0,0
204817,U12-008,2022AR12B,Nul,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,2,2,0,0,0,10
204828,U12-008,2022AR12B,Valide,1,1,3,1,1,2,3,3,3,1,1,1,12,7,1,4,0,0
204837,U12-008,2022AR12B,Valide,2,2,2,2,2,1,1,1,2,2,2,2,12,3,9,0,0,0
204839,U12-005,2022AR12B,Valide,2,1,novote,novote,novote,1,2,novote,novote,novote,novote,novote,4,2,2,0,0,8
204846,U12-016,2022AR12A,Valide,1,novote,novote,novote,novote,1,novote,novote,novote,1,1,novote,4,4,0,0,0,8
204851,U12-016,2022AR12A,Valide,2,novote,novote,2,1,novote,novote,novote,novote,1,novote,novote,4,2,2,0,0,8
204854,U12-008,2022AR12A,Valide,novote,2,novote,2,2,2,novote,novote,1,novote,novote,novote,5,1,4,0,0,7
204864,U12-005,2022AR12B,Nul,novote,novote,novote,novote,novote,novote,1,1,novote,novote,novote,novote,2,2,0,0,0,10
204869,U12-005,2022AR12B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
