ID,Urne,QR-Code,Categorie,1 - Developper les stationnements velos dans le 19e,2 - Faciliter les deplacements des pietons et des cyclistes,3 - Marcher et pedaler en toute securite,4 - Destination 2024 : le 19e a l heure du sport,5 - Modernisons nos equipements pour faire du sport ensemble,6 - Faire vivre l inclusion dans le 19e,7 - Soutenons le dynamisme associatif et solidaire de nos quartiers,8 - Rafraichir la ville et promouvoir la biodiversite,"9 - Cours vegetalisees, musique et lecture pour mieux vivre a l ecole",10 - Plus belles nos ecoles : de la nature et du ciel bleu,"11 - Art, patrimoine et couleur : le 19e plus culturel",12 - Embellir et illuminer les rues et jardins de nos quartiers,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
191847,U19-032,2022AR19B,Valide,novote,1,1,1,1,novote,novote,novote,novote,novote,novote,novote,4,4,0,0,0,8
191849,U19-041,2022AR19A,Valide,2,2,2,1,1,1,1,1,2,2,2,2,12,5,7,0,0,0
191854,U19-018,2022AR19A,Valide,4,4,novote,1,1,novote,novote,novote,novote,novote,4,novote,5,2,0,0,3,7
191855,U19-032,2022AR19A,Valide,1,1,novote,1,1,novote,novote,novote,novote,novote,novote,novote,4,4,0,0,0,8
191862,U19-018,2022AR19B,Valide,novote,1,1,1,1,novote,novote,novote,novote,novote,novote,novote,4,4,0,0,0,8
191868,U19-036,2022AR19A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
191872,U19-018,2022AR19A,Nul,novote,novote,novote,1,1,novote,novote,novote,novote,novote,novote,novote,2,2,0,0,0,10
191878,U19-036,2022AR19A,Valide,4,2,2,novote,novote,novote,novote,2,novote,novote,novote,novote,4,0,3,0,1,8
191895,U19-032,2022AR19A,Valide,novote,novote,novote,1,1,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,8
191896,U19-007,2022AR19A,Valide,novote,novote,novote,1,1,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,8
191904,U19-043,2022AR19B,Valide,1,1,1,1,novote,novote,novote,novote,novote,novote,novote,novote,4,4,0,0,0,8
191906,U19-043,2022AR19B,Nul,novote,novote,novote,novote,novote,novote,novote,2,novote,1,2,novote,3,1,2,0,0,9
