ID,Urne,QR-Code,Categorie,1 - Favoriser le lien social et les pratiques artistiques et sportives,2 - Kits pedagogiques pour parler aux enfants des personnes SDF,3 - Lutter contre les inegalites d acces,4 - Securiser et amenager pour favoriser les mobilites douces,5 - Vegetaliser l arrondissement et amenager les parcs et jardins,6 - Doter les ecoles du 18e de davantage d outils numeriques,7 - Creer une ecole des metiers du velo du Grand Paris,8 - Mettre en lumiere les monuments de Chapelle Marx Dormoy,9 - Mettre en valeur l histoire du quartier La Chapelle,10 - Restaurer la fleche de l eglise St-Bernard,11 - Restaurer le patrimoine cultuel,12 - Mettre de la couleur sur les murs,13 - Vegetaliser et ameliorer les lieux publics dans les quartiers,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
142214,U18-011,2022AR18B,Valide,1,2,2,1,1,2,1,2,2,2,2,3,1,13,5,7,1,0,0
142217,U18-004,2022AR18B,Valide,2,3,1,1,1,1,2,3,3,3,3,2,1,13,5,3,5,0,0
142232,U18-001,2022AR18B,Valide,1,novote,1,1,1,3,novote,2,2,3,2,2,1,11,5,4,2,0,2
142234,U18-011,2022AR18B,Valide,1,1,1,2,2,2,2,2,1,1,1,1,1,13,8,5,0,0,0
142237,U18-003,2022AR18A,Valide,1,3,2,3,1,1,3,4,4,4,4,2,1,13,4,2,3,4,0
142253,U18-011,2022AR18B,Valide,2,1,1,1,1,2,3,2,2,2,1,3,1,13,6,5,2,0,0
142272,U18-011,2022AR18B,Valide,novote,novote,novote,novote,1,novote,1,novote,1,novote,novote,novote,1,4,4,0,0,0,9
142278,U18-003,2022AR18A,Valide,1,4,1,1,1,3,1,1,1,3,1,3,1,13,9,0,3,1,0
142290,U18-001,2022AR18B,Valide,2,2,2,1,1,3,1,3,4,3,1,4,1,13,5,3,3,2,0
142301,U18-004,2022AR18B,Valide,novote,1,1,novote,1,2,2,3,3,3,3,2,1,11,4,3,4,0,2
142315,U18-011,2022AR18B,Nul,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,12
142337,U18-011,2022AR18B,Valide,novote,1,1,1,3,1,1,novote,1,4,1,1,1,11,9,0,1,1,2
142339,U18-003,2022AR18A,Valide,3,2,1,2,2,3,novote,2,2,2,2,2,2,12,1,9,2,0,1
142352,U18-001,2022AR18B,Valide,1,1,1,1,1,2,1,2,2,2,1,2,1,13,8,5,0,0,0
142354,U18-012,2022AR18B,Valide,1,2,1,2,1,2,3,3,3,3,1,3,1,13,5,3,5,0,0
142365,U18-003,2022AR18A,Valide,1,1,3,1,novote,novote,2,2,2,3,novote,novote,novote,8,3,3,2,0,5
