ID,Urne,QR-Code,Categorie,1 - Bagagerie solidaire dans le 6e arrondissement,2 - Installation de brumisateurs urbains,3 - Ouverture d un Jardin Partage - Rue du Cherche-Midi,4 - Revelation d un petit jardin - Angle Littre-Vaugirard,5 - Des videoprojecteurs interactifs pour les ecoles du 6e,6 - Dotation aux ecoles de solution de fraicheur,7 - Les jardiniers du Jardinet,8 - Creer un espace scenique ouvert a tous publics et styles,9 - Restaurer le patrimoine cultuel et culturel du 6e arrondissement,10 - Un parc d exercice et de detente canin,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
672,U06-002,2022AR06A,Nul,1 2 3,1 2 3,1 2 3,1 2 3,1 2 3,1 2 3,1 2 3,1 2 3,1 2 3,1 2 3,0,0,0,0,0,0
676,U06-002,2022AR06A,Valide,2,novote,2,novote,2,novote,novote,novote,1,novote,4,1,3,0,0,6
677,U06-002,2022AR06B,Valide,novote,novote,2,2,novote,novote,novote,novote,1,4,4,1,2,0,1,6
693,U06-002,2022AR06B,Valide,novote,novote,novote,2,2,novote,2,novote,2,novote,4,0,4,0,0,6
694,U06-002,2022AR06B,Valide,novote,1,1,1,novote,1,1,novote,novote,novote,5,5,0,0,0,5
695,U06-002,2022AR06A,Valide,1,novote,1,1,novote,1,novote,novote,1,novote,5,5,0,0,0,5
696,U06-002,2022AR06A,Valide,1,4,1,1,2,2,2,1,1,4,10,5,3,0,2,0
697,U06-002,2022AR06B,Valide,novote,4,novote,novote,novote,2,novote,novote,1,4,4,1,1,0,2,6
702,U06-002,2022AR06B,Valide,3,3,1,1,1,1,2,1,1,4,10,6,1,2,1,0
704,U06-002,2022AR06A,Nul,novote,novote,novote,novote,novote,novote,novote,novote,2,novote,1,0,1,0,0,9
707,U06-002,2022AR06B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
708,U06-002,2022AR06B,Valide,novote,4,3,1,4,3,novote,4,novote,4,7,1,0,2,4,3
713,U06-002,2022AR06B,Valide,1,1,1,1,3,2,3,3,4,4,10,4,1,3,2,0
715,U06-002,2022AR06B,Valide,novote,novote,1,1,novote,1,1,novote,novote,novote,4,4,0,0,0,6
716,U06-002,2022AR06A,Nul,novote,1,novote,novote,1,novote,novote,novote,novote,novote,2,2,0,0,0,8
718,U06-002,2022AR06A,Valide,novote,novote,novote,1,4,novote,3,4,novote,novote,4,1,0,1,2,6
721,U06-002,2022AR06A,Nul,novote,novote,novote,2,novote,1,novote,novote,1,novote,3,2,1,0,0,7
722,U06-002,2022AR06B,Valide,novote,2,novote,novote,3,novote,3,novote,1,novote,4,1,1,2,0,6
