ID,Urne,QR-Code,Categorie,1 - La modernisation du centre sportif Georges Carpentier,2 - Une activite sportive pour toutes et tous !,3 - Maison des Associations et club-house : se retrouver et recevoir !,4 - Vos projets pour faire du partage une valeur commune !,5 - Ameliorer l acces aux outils numeriques dans les ecoles !,6 - Modernisation et renovation de vos Centres Paris Anim,7 - Vegetaliser et rafraichir les cours des ecoles et colleges,8 - Vos projets pour ameliorer le cadre de vie dans nos écoles !,9 - De la place pour les animaux au Parc de Choisy : plus de biodiversite,"10 - Vos micro-quartiers : fresques, jeux, jardins et accessibilite !",Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
21607,U13-032,2022AR13A,Valide,1,1,1,novote,1,1,1,1,novote,1,8,8,0,0,0,2
21619,U13-081,2022AR13A,Nul,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,9
21622,U18-083,2022AR13A,Nul,novote,novote,novote,novote,novote,novote,1,novote,1,novote,2,2,0,0,0,8
21631,U13-032,2022AR13A,Valide,3,3,2,2,2,3,3,2,3,3,10,0,4,6,0,0
21652,U13-085,2022AR13A,Valide,novote,1,novote,1,novote,novote,1,novote,novote,1,4,4,0,0,0,6
21657,U13-081,2022AR13A,Nul,novote,novote,novote,novote,1,1,novote,novote,novote,novote,2,2,0,0,0,8
21672,U13-051,2022AR13B,Valide,novote,novote,novote,novote,2,2,2,novote,novote,1,4,1,3,0,0,6
21775,U13-066,2022AR13A,Valide,2,1,2,2,3,2,2,2,3,3,10,1,6,3,0,0
21790,U13-085,2022AR13A,Valide,4,2,4,3,1,1,1,1,1,1,10,6,1,1,2,0
21795,U13-079,2022AR13B,Valide,novote,1,novote,novote,1,novote,novote,1,1,novote,4,4,0,0,0,6
21805,U13-081,2022AR13A,Nul,1,novote,novote,novote,2,novote,novote,novote,novote,novote,2,1,1,0,0,8
21810,U13-079,2022AR13B,Nul,novote,2,novote,novote,novote,novote,2,novote,2,novote,3,0,3,0,0,7
21817,U18-083,2022AR13A,Valide,2,1,2,1,3,2,1,1,1,1,10,6,3,1,0,0
21825,U13-081,2022AR13A,Valide,1,1,2,3,1,2,1,2,2,1,10,5,4,1,0,0
21842,U13-032,2022AR13A,Nul,1 2,1,novote,1,1,1,1 2,2,novote,novote,5,4,1,0,0,3
21845,U13-081,2022AR13A,Valide,1,3,4,4,3,2,2,2,1,2,10,2,4,2,2,0
21864,U13-035,2022AR13A,Nul,novote,novote,novote,novote,1,novote,1,novote,novote,novote,2,2,0,0,0,8
21874,U13-032,2022AR13A,Valide,2,2,1,1,1,1,1,1,1,1,10,8,2,0,0,0
21878,U13-081,2022AR13A,Nul,1,novote,novote,novote,novote,1,2,novote,novote,novote,3,2,1,0,0,7
21930,U13-051,2022AR13B,Valide,novote,novote,novote,novote,1,1,1,novote,novote,1,4,4,0,0,0,6
21946,U13-079,2022AR13B,Valide,novote,1,novote,novote,1,novote,novote,1,1,novote,4,4,0,0,0,6
21966,U18-083,2022AR13A,Valide,novote,1,novote,novote,novote,novote,1,1,1,1,5,5,0,0,0,5
21999,U13-051,2022AR13B,Valide,2,2,3,3,1,1,3,2,4,1,10,3,3,3,1,0
22009,U13-079,2022AR13B,Valide,1,1,1,3,2,2,1,novote,1,2,9,5,3,1,0,1
22011,U13-032,2022AR13A,Valide,2,1,2,2,2,1,1,2,1,1,10,5,5,0,0,0
22020,U13-035,2022AR13A,Valide,3,2,2,2,1,1,1,1,3,2,10,4,4,2,0,0
22031,U13-079,2022AR13B,Nul,novote,2,novote,novote,novote,novote,2,novote,1,novote,3,1,2,0,0,7
22080,U13-079,2022AR13B,Valide,novote,1,novote,novote,1,1,1,novote,1,novote,5,5,0,0,0,5
22114,U13-032,2022AR13A,Valide,1,novote,1,novote,1,novote,1,novote,novote,novote,4,4,0,0,0,6
22131,U13-085,2022AR13B,Valide,3,1,4,2,1,3,1,1,3,1,10,5,1,3,1,0
22144,U13-035,2022AR13B,Valide,2,2,2,2,2,2,2,1,2,3,10,1,8,1,0,0
22160,U13-021,2022AR13B,Valide,2,2,2,2,1,1,2,2,4,novote,9,2,6,0,1,1
22165,U13-035,2022AR13A,Valide,3,2,3,3,1,1,1,1,2,2,10,4,3,3,0,0
22169,U13-079,2022AR13B,Valide,novote,1,novote,novote,1,1,1,novote,novote,novote,4,4,0,0,0,6
22176,U13-032,2022AR13A,Valide,2,2,3,3,3,1,2,2,1,1,10,3,4,3,0,0
22203,U13-032,2022AR13A,Valide,3,2,2,2,1,3,2,3,1,2,10,2,5,3,0,0
22257,U13-079,2022AR13B,Valide,novote,1,novote,novote,1,novote,novote,1,1,novote,4,4,0,0,0,6
22285,U13-085,2022AR13A,Valide,2,1,1,1,1,1,1,1,1,1,10,9,1,0,0,0
22287,U13-032,2022AR13A,Nul,1 2,1 2,3,1,3,2,1 2,2,novote,novote,5,1,2,2,0,2
22293,U13-032,2022AR13A,Valide,novote,1,1,1,novote,1,1,novote,1,1,7,7,0,0,0,3
22356,U13-035,2022AR13B,Nul,novote,1,1,1 2,1,novote,novote,1,1 2,1 2,4,4,0,0,0,3
22367,U13-032,2022AR13A,Valide,2,1,2,1,1,1,1,1,1,1,10,8,2,0,0,0
22386,U13-021,2022AR13B,Valide,3,2,1,2,3,2,1,1,4,1,10,4,3,2,1,0
22421,U13-021,2022AR13A,Valide,2,2,2,2,1,1,1,1,3,1,10,5,4,1,0,0
22427,U13-032,2022AR13A,Valide,novote,novote,novote,novote,2,2,2,novote,2,2,5,0,5,0,0,5
22472,U13-032,2022AR13A,Valide,1,1,1,novote,1,novote,novote,novote,novote,novote,4,4,0,0,0,6
22514,U13-051,2022AR13B,Nul,novote,novote,novote,novote,1,novote,1,novote,novote,1,3,3,0,0,0,7
22524,U13-047,2022AR13A,Valide,1,1,1,novote,1,novote,novote,novote,novote,novote,4,4,0,0,0,6
22532,U13-032,2022AR13A,Valide,3,novote,3,novote,3,4,1,novote,novote,novote,5,1,0,3,1,5
